1	2014/10/10	1123	1119	75989	1104	74885	2228
2	2014/10/11	1124	1121	70143	532	69611	2078
3	2014/10/12	979	975	89649	442	89207	2223
4	2014/10/13	1107	1107	97574	1593	95981	2597
5	2014/10/14	1064	1064	109606	2716	106890	3174
6	2014/10/15	1298	1082	208039	14202	193837	5601
7	2014/10/16	1101	1022	258270	11778	246492	7523
8	2014/10/17	1157	1111	235196	7863	227333	7014
9	2014/10/18	1208	1179	226018	6269	219749	5894
10	2014/10/19	1266	1247	189031	5973	183058	4658
11	2014/10/20	1600	1569	366459	3504	362955	9893
12	2014/10/21	1755	1572	296369	4899	291470	8013
13	2014/10/22	1525	1449	242808	6549	236259	6030
14	2014/10/23	1579	1433	200581	7042	193539	5167
15	2014/10/24	1509	1463	354791	7064	347727	8840
16	2014/10/25	1417	1412	205167	2407	202760	4936
17	2014/10/26	1382	1382	282184	1926	280258	7269
18	2014/10/27	1538	1526	228477	2707	225770	6215
19	2014/10/28	1527	1522	286492	11290	275202	8342
20	2014/10/29	1381	1362	244509	7943	236566	6239
21	2014/10/30	1508	1229	268042	31947	236095	6135
22	2014/10/31	1406	1174	308405	21065	287340	8344
23	2014/11/1	1122	1106	345546	7164	338382	9222
24	2014/11/2	1163	1163	345151	5387	339764	9012
25	2014/11/3	1311	1289	332542	22774	309768	9882
26	2014/11/4	1241	1185	316648	21110	295538	8810
27	2014/11/5	1051	1045	335632	21354	314278	8665
28	2014/11/6	980	980	378768	20153	358615	9201
29	2014/11/7	972	972	392326	20652	371674	8486
30	2014/11/8	1006	1006	449111	23056	426055	9344
31	2014/11/9	1056	1056	527079	31096	495983	10930
32	2014/11/10	1724	1724	811536	48184	763352	13969
33	2014/11/11	77409	26357	1404730	42499	1362231	14262
34	2014/11/12	1712	1442	256197	381	255816	3253
35	2014/11/13	1144	1023	168435	65	168370	2748
36	2014/11/14	916	905	149291	60	149231	2452
37	2014/11/15	801	801	151008	163	150845	2538
38	2014/11/16	807	807	150009	214	149795	2422
39	2014/11/17	923	916	148033	686	147347	2594
40	2014/11/18	1016	1013	125642	642	125000	2604
41	2014/11/19	970	969	127187	1529	125658	2605
42	2014/11/20	880	864	126789	3134	123655	2437
43	2014/11/21	885	835	127841	9086	118755	2423
44	2014/11/22	929	916	131567	6299	125268	2498
45	2014/11/23	1042	1026	140987	6383	134604	2642
46	2014/11/24	1148	1015	190716	31451	159265	4195
47	2014/11/25	1083	1005	159188	19984	139204	3405
48	2014/11/26	934	932	131634	2118	129516	2913
49	2014/11/27	1443	910	125427	2735	122692	2711
50	2014/11/28	992	826	117170	2108	115062	2332
51	2014/11/29	1039	820	125729	1850	123879	2514
52	2014/11/30	1044	850	142639	2065	140574	2754
53	2014/12/1	1035	1024	130614	1071	129543	2565
54	2014/12/2	1044	1024	131350	1583	129767	2857
55	2014/12/3	1406	1175	141863	3499	138364	2953
56	2014/12/4	1279	1197	136938	3309	133629	2920
57	2014/12/5	1135	1127	122351	1597	120754	2788
58	2014/12/6	1294	1265	140974	2416	138558	3354
59	2014/12/7	1595	1582	153800	2371	151429	3568
60	2014/12/8	1574	1550	156984	2741	154243	3821
61	2014/12/9	1284	1283	148541	1425	147116	3695
62	2014/12/10	1674	1674	163400	1466	161934	4250
63	2014/12/11	2066	2066	228277	3480	224797	5156
64	2014/12/12	11312	9981	342647	7739	334908	5001
65	2014/12/13	1549	1516	174548	3290	171258	3285
66	2014/12/14	1396	1364	172869	2973	169896	4134
67	2014/12/15	1403	1400	150205	279	149926	3297
68	2014/12/16	1249	1249	151657	2533	149124	2975
69	2014/12/17	1119	1119	153106	4033	149073	3104
70	2014/12/18	1382	1248	153736	8500	145236	3331
71	2014/12/19	1597	1249	166960	13087	153873	3361
72	2014/12/20	1251	1148	151241	6769	144472	3052
73	2014/12/21	1295	1208	167871	7635	160236	3301
74	2014/12/22	1437	1328	157978	10987	146991	3025
75	2014/12/23	1314	1249	155054	10660	144394	3054
76	2014/12/24	1367	1349	139175	9038	130137	2748
77	2014/12/25	1921	1541	166005	14856	151149	3226
78	2014/12/26	1634	1521	156520	6226	150294	3574
79	2014/12/27	1338	1297	189518	4369	185149	3608
80	2014/12/28	1537	1460	174855	4641	170214	3493
81	2014/12/29	1669	1667	154485	549	153936	3518
82	2014/12/30	1448	1448	139788	225	139563	3264
83	2014/12/31	1385	1381	136564	517	136047	2997
84	2015/1/1	2149	2147	183339	2556	180783	3118
85	2015/1/2	1720	1720	187234	3133	184101	3682
86	2015/1/3	1866	1741	204892	5803	199089	4080
87	2015/1/4	1725	1663	190554	5114	185440	3889
88	2015/1/5	1611	1534	177906	7120	170786	4224
89	2015/1/6	1448	1328	196014	11269	184745	3799
90	2015/1/7	1777	1421	207506	12409	195097	4326
91	2015/1/8	1641	1422	212583	12526	200057	5595
92	2015/1/9	1991	1361	216171	12245	203926	4826
93	2015/1/10	1400	1289	195013	10033	184980	4075
94	2015/1/11	1507	1425	204298	11844	192454	4102
95	2015/1/12	1862	1497	204243	16922	187321	5076
96	2015/1/13	1852	1248	196537	15135	181402	3922
97	2015/1/14	1569	1174	179301	12818	166483	3456
98	2015/1/15	1399	1326	170229	7226	163003	3829
99	2015/1/16	1721	1364	170595	5966	164629	3311
100	2015/1/17	1381	1217	177369	5799	171570	3141
101	2015/1/18	1568	1409	191670	5816	185854	3274
102	2015/1/19	1617	1606	170886	3481	167405	2970
103	2015/1/20	1889	1698	171224	5812	165412	3188
104	2015/1/21	1934	1782	168607	7489	161118	3572
105	2015/1/22	1639	1609	158281	6113	152168	3009
106	2015/1/23	1650	1625	162603	9402	153201	3054
107	2015/1/24	1641	1638	172606	3887	168719	3178
108	2015/1/25	1626	1626	189457	3861	185596	3193
109	2015/1/26	1640	1640	191815	8028	183787	5142
110	2015/1/27	4336	2459	231854	16899	214955	4335
111	2015/1/28	2639	1987	197217	9748	187469	4406
112	2015/1/29	1843	1831	162468	1203	161265	2960
113	2015/1/30	1732	1732	158617	925	157692	2707
114	2015/1/31	1823	1823	175269	1933	173336	2184
115	2015/2/1	2339	2339	200120	2255	197865	2970
116	2015/2/2	2499	2458	195203	3885	191318	3283
117	2015/2/3	2836	2650	201215	8964	192251	3294
118	2015/2/4	2502	2440	194929	7802	187127	3120
119	2015/2/5	2774	2534	206849	13508	193341	3278
120	2015/2/6	2330	2196	194882	10551	184331	3241
121	2015/2/7	1968	1878	203685	8603	195082	2929
122	2015/2/8	1770	1692	250213	8484	241729	4239
123	2015/2/9	1464	1451	174342	1638	172704	2719
124	2015/2/10	1231	1230	162567	1602	160965	3605
125	2015/2/11	1281	1278	178793	2182	176611	3369
126	2015/2/12	692	681	159978	4226	155752	2882
127	2015/2/13	490	363	163469	9019	154450	2817
128	2015/2/14	308	264	147195	5411	141784	2643
129	2015/2/15	332	299	165775	5344	160431	3196
130	2015/2/16	254	253	155946	3023	152923	3141
131	2015/2/17	402	193	149045	8559	140486	2824
132	2015/2/18	223	121	99245	7364	91881	2028
133	2015/2/19	278	167	122666	10329	112337	2599
134	2015/2/20	241	218	111190	2836	108354	2165
135	2015/2/21	322	319	111563	1998	109565	2192
136	2015/2/22	484	442	125372	2015	123357	2318
137	2015/2/23	740	619	159073	13105	145968	2938
138	2015/2/24	939	872	179810	13719	166091	3366
139	2015/2/25	1556	1550	217249	6685	210564	4076
140	2015/2/26	2036	2026	213763	3449	210314	4220
141	2015/2/27	1759	1758	244062	1029	243033	4286
142	2015/2/28	1742	1742	264807	1320	263487	4659
143	2015/3/1	1602	1602	231626	1888	229738	3744
144	2015/3/2	2026	2002	265367	8444	256923	4425
145	2015/3/3	1895	1866	289660	15869	273791	5145
146	2015/3/4	1586	1506	260594	21259	239335	4912
147	2015/3/5	1473	1431	252235	20194	232041	4461
148	2015/3/6	3061	1694	293347	32419	260928	5241
149	2015/3/7	2031	1548	305357	22606	282751	5412
150	2015/3/8	2303	1718	324393	24401	299992	5880
151	2015/3/9	1857	1842	252819	7345	245474	4723
152	2015/3/10	1838	1838	235735	1986	233749	4444
153	2015/3/11	1925	1769	263182	14734	248448	4891
154	2015/3/12	1924	1803	254654	21332	233322	4555
155	2015/3/13	1790	1776	243275	15049	228226	4293
156	2015/3/14	1796	1739	271757	13838	257919	5125
157	2015/3/15	2055	2022	300290	13934	286356	4982
158	2015/3/16	1770	1740	256138	19718	236420	4604
159	2015/3/17	1878	1675	277632	25352	252280	4927
160	2015/3/18	5995	2460	282099	18707	263392	5012
161	2015/3/19	2991	2044	243333	10902	232431	4485
162	2015/3/20	2088	1861	206673	2257	204416	3430
163	2015/3/21	1605	1603	215395	3674	211721	3643
164	2015/3/22	1798	1798	240044	4538	235506	6350
165	2015/3/23	3122	2394	267934	16406	251528	6295
166	2015/3/24	2255	1937	235800	13452	222348	4224
167	2015/3/25	2143	1881	236152	16980	219172	4214
168	2015/3/26	2086	1916	227524	14777	212747	4165
169	2015/3/27	2009	1965	211127	9635	201492	3767
170	2015/3/28	1931	1878	237676	11069	226607	4243
171	2015/3/29	2005	1956	264873	10682	254191	4977
172	2015/3/30	2393	2022	269648	27954	241694	5085
173	2015/3/31	2377	2229	275447	23118	252329	5489
174	2015/4/1	2861	2627	425750	35446	390304	7500
175	2015/4/2	2402	2342	276077	17144	258933	5889
176	2015/4/3	2232	2230	233243	3307	229936	4788
177	2015/4/4	2636	2636	256137	2150	253987	4736
178	2015/4/5	2151	2151	269453	2864	266589	5339
179	2015/4/6	3352	2329	315852	19847	296005	6659
180	2015/4/7	2462	2251	272732	13062	259670	5074
181	2015/4/8	2364	2061	311440	41234	270206	7008
182	2015/4/9	2271	2117	299901	40511	259390	6565
183	2015/4/10	2069	1926	301957	38647	263310	6211
184	2015/4/11	1903	1835	314534	41030	273504	6525
185	2015/4/12	2063	2013	320103	38526	281577	6184
186	2015/4/13	2430	2187	322312	39901	282411	8170
187	2015/4/14	2592	2226	331494	41547	289947	7417
188	2015/4/15	4652	2501	278153	16578	261575	6356
189	2015/4/16	2684	2324	285677	8838	276839	9589
